instances,vbih,bs,ig
testes/in02_001.dat,3583,3590,3583
testes/in02_002.dat,3103,3109,3103
testes/in02_003.dat,2941,2956,2941
testes/in02_004.dat,2459,2459,2479
testes/in02_005.dat,2885,2898,2885
testes/in02_006.dat,2890,2890,2897
testes/in02_007.dat,3019,3034,3026
testes/in02_008.dat,2812,2812,2812
testes/in02_009.dat,2832,2832,2832
testes/in02_010.dat,3218,3230,3221
testes/in02_011.dat,3035,3035,3035
testes/in02_012.dat,2513,2516,2519
testes/in02_013.dat,3170,3175,3170
testes/in02_014.dat,2939,2950,2941
testes/in02_015.dat,2643,2643,2643
testes/in02_016.dat,3070,3075,3070
testes/in02_017.dat,3547,3547,3547
testes/in02_018.dat,2883,2883,2901
testes/in02_019.dat,3260,3267,3260
testes/in02_020.dat,2562,2562,2562
testes/in02_021.dat,3044,3044,3048
testes/in02_022.dat,2800,2800,2814
testes/in02_023.dat,3285,3285,3285
testes/in02_024.dat,2995,3010,2999
testes/in02_025.dat,2445,2445,2445
testes/in02_026.dat,2936,2938,2936
testes/in02_027.dat,2603,2603,2603
testes/in02_028.dat,2806,2806,2807
testes/in02_029.dat,2725,2725,2725
testes/in02_030.dat,2735,2735,2735
testes/in02_031.dat,2861,2861,2891
testes/in02_032.dat,2411,2411,2417
testes/in02_033.dat,2972,2974,2972
testes/in02_034.dat,2765,2772,2765
testes/in02_035.dat,2560,2576,2560
testes/in02_036.dat,3012,3020,3012
testes/in02_037.dat,3015,3015,3015
testes/in02_038.dat,2659,2659,2659
testes/in02_039.dat,3237,3237,3237
testes/in02_040.dat,2899,2899,2899
testes/in02_041.dat,2798,2798,2799
testes/in02_042.dat,2730,2732,2730
testes/in02_043.dat,2841,2857,2841
testes/in02_044.dat,3057,3057,3057
testes/in02_045.dat,3019,3025,3019
testes/in02_046.dat,2543,2543,2543
testes/in02_047.dat,2402,2402,2423
testes/in02_048.dat,2962,2963,2969
testes/in02_049.dat,2252,2257,2255
testes/in02_050.dat,2829,2835,2829
testes/in02_051.dat,3421,3421,3421
testes/in02_052.dat,3099,3099,3113
testes/in02_053.dat,3019,3025,3024
testes/in02_054.dat,2778,2781,2781
testes/in02_055.dat,3345,3345,3349
testes/in02_056.dat,3016,3028,3016
testes/in02_057.dat,3105,3105,3105
testes/in02_058.dat,2553,2553,2553
testes/in02_059.dat,2917,2917,2917
testes/in02_060.dat,3284,3285,3284
testes/in02_061.dat,5357,5357,5401
testes/in02_062.dat,5426,5454,5462
testes/in02_063.dat,5221,5255,5252
testes/in02_064.dat,5359,5403,5411
testes/in02_065.dat,5160,5203,5226
testes/in02_066.dat,5369,5402,5424
testes/in02_067.dat,5168,5194,5253
testes/in02_068.dat,5078,5099,5114
testes/in02_069.dat,5384,5415,5412
testes/in02_070.dat,5625,5664,5686
testes/in02_071.dat,5429,5465,5449
testes/in02_072.dat,5172,5180,5200
testes/in02_073.dat,4405,4437,4459
testes/in02_074.dat,5928,5971,5988
testes/in02_075.dat,5512,5567,5553
testes/in02_076.dat,5900,5900,5956
testes/in02_077.dat,5428,5475,5459
testes/in02_078.dat,5260,5280,5323
testes/in02_079.dat,6057,6088,6095
testes/in02_080.dat,5635,5665,5681
testes/in02_081.dat,5402,5419,5426
testes/in02_082.dat,5627,5662,5690
testes/in02_083.dat,5496,5544,5575
testes/in02_084.dat,5490,5513,5522
testes/in02_085.dat,5385,5421,5439
testes/in02_086.dat,5814,5854,5863
testes/in02_087.dat,4985,5029,5058
testes/in02_088.dat,5692,5729,5733
testes/in02_089.dat,4653,4689,4686
testes/in02_090.dat,4650,4652,4722
testes/in02_091.dat,5357,5406,5385
testes/in02_092.dat,5826,5838,5877
testes/in02_093.dat,5292,5318,5351
testes/in02_094.dat,5514,5541,5576
testes/in02_095.dat,5918,5931,5957
testes/in02_096.dat,5037,5061,5079
testes/in02_097.dat,5840,5847,5888
testes/in02_098.dat,5594,5633,5647
testes/in02_099.dat,5321,5349,5391
testes/in02_100.dat,5232,5267,5302
testes/in02_101.dat,5361,5377,5433
testes/in02_102.dat,5655,5664,5729
testes/in02_103.dat,6307,6334,6357
testes/in02_104.dat,5366,5380,5422
testes/in02_105.dat,5588,5627,5651
testes/in02_106.dat,6000,6022,6059
testes/in02_107.dat,5461,5503,5494
testes/in02_108.dat,5267,5293,5287
testes/in02_109.dat,4418,4425,4466
testes/in02_110.dat,5247,5278,5287
testes/in02_111.dat,5449,5496,5516
testes/in02_112.dat,4807,4824,4869
testes/in02_113.dat,5197,5206,5255
testes/in02_114.dat,5781,5828,5825
testes/in02_115.dat,4978,5001,5015
testes/in02_116.dat,5349,5374,5391
testes/in02_117.dat,5570,5603,5617
testes/in02_118.dat,4973,5017,5020
testes/in02_119.dat,5458,5505,5501
testes/in02_120.dat,4618,4657,4638
testes/in02_121.dat,7976,7987,8096
testes/in02_122.dat,7886,7908,8004
testes/in02_123.dat,7955,7960,8164
testes/in02_124.dat,8359,8357,8473
testes/in02_125.dat,7890,7871,7973
testes/in02_126.dat,8753,8763,8847
testes/in02_127.dat,7917,7973,8010
testes/in02_128.dat,7558,7602,7720
testes/in02_129.dat,7993,7997,8040
testes/in02_130.dat,8401,8431,8507
testes/in02_131.dat,7686,7739,7827
testes/in02_132.dat,7428,7429,7531
testes/in02_133.dat,8424,8486,8541
testes/in02_134.dat,8005,8053,8132
testes/in02_135.dat,8792,8837,8905
testes/in02_136.dat,8177,8185,8268
testes/in02_137.dat,7930,7999,8014
testes/in02_138.dat,7983,8050,8104
testes/in02_139.dat,7364,7398,7480
testes/in02_140.dat,8852,8835,8923
testes/in02_141.dat,8771,8802,8893
testes/in02_142.dat,7439,7515,7537
testes/in02_143.dat,8099,8125,8217
testes/in02_144.dat,7269,7285,7400
testes/in02_145.dat,7587,7617,7651
testes/in02_146.dat,8180,8260,8266
testes/in02_147.dat,7776,7817,7871
testes/in02_148.dat,8211,8268,8318
testes/in02_149.dat,7944,8009,8064
testes/in02_150.dat,7713,7777,7876
testes/in02_151.dat,7411,7422,7548
testes/in02_152.dat,7839,7886,7931
testes/in02_153.dat,7580,7594,7718
testes/in02_154.dat,7669,7728,7776
testes/in02_155.dat,7194,7255,7318
testes/in02_156.dat,7547,7588,7681
testes/in02_157.dat,8813,8872,8935
testes/in02_158.dat,7466,7511,7559
testes/in02_159.dat,8040,8065,8179
testes/in02_160.dat,8159,8216,8289
testes/in02_161.dat,8832,8875,8933
testes/in02_162.dat,7919,7926,8023
testes/in02_163.dat,7499,7543,7588
testes/in02_164.dat,8015,8067,8124
testes/in02_165.dat,7758,7827,7857
testes/in02_166.dat,8374,8419,8522
testes/in02_167.dat,8441,8460,8616
testes/in02_168.dat,7998,8011,8066
testes/in02_169.dat,9020,9043,9121
testes/in02_170.dat,8335,8393,8424
testes/in02_171.dat,6841,6858,7004
testes/in02_172.dat,9314,9318,9387
testes/in02_173.dat,7642,7706,7748
testes/in02_174.dat,7627,7667,7752
testes/in02_175.dat,7455,7462,7548
testes/in02_176.dat,7183,7245,7258
testes/in02_177.dat,8088,8129,8194
testes/in02_178.dat,7847,7902,8000
testes/in02_179.dat,7668,7726,7767
testes/in02_180.dat,8007,8022,8121
testes/in06_001.dat,2579,2579,2581
testes/in06_002.dat,2702,2627,2627
testes/in06_003.dat,2894,2881,2881
testes/in06_004.dat,2918,2887,2887
testes/in06_005.dat,2922,2922,2925
testes/in06_006.dat,3117,3117,3117
testes/in06_007.dat,2899,2865,2865
testes/in06_008.dat,2707,2707,2707
testes/in06_009.dat,3385,3366,3366
testes/in06_010.dat,3303,3303,3303
testes/in06_011.dat,2978,2978,2978
testes/in06_012.dat,2673,2657,2657
testes/in06_013.dat,3504,3504,3504
testes/in06_014.dat,2959,2959,2959
testes/in06_015.dat,3225,3231,3225
testes/in06_016.dat,3533,3533,3533
testes/in06_017.dat,2706,2681,2684
testes/in06_018.dat,2831,2831,2812
testes/in06_019.dat,3453,3453,3453
testes/in06_020.dat,2573,2564,2564
testes/in06_021.dat,2648,2642,2650
testes/in06_022.dat,3387,3387,3387
testes/in06_023.dat,3086,3074,3110
testes/in06_024.dat,3037,3037,3038
testes/in06_025.dat,3043,3043,3043
testes/in06_026.dat,2488,2488,2489
testes/in06_027.dat,3388,3388,3388
testes/in06_028.dat,3136,3136,3136
testes/in06_029.dat,2868,2865,2865
testes/in06_030.dat,3037,3043,3037
testes/in06_031.dat,3370,3370,3370
testes/in06_032.dat,2771,2771,2771
testes/in06_033.dat,3536,3536,3536
testes/in06_034.dat,2862,2862,2862
testes/in06_035.dat,3170,3181,3170
testes/in06_036.dat,2760,2760,2776
testes/in06_037.dat,2924,2924,2931
testes/in06_038.dat,2743,2743,2743
testes/in06_039.dat,2923,2942,2932
testes/in06_040.dat,3091,3095,3091
testes/in06_041.dat,2876,2884,2884
testes/in06_042.dat,2851,2851,2851
testes/in06_043.dat,2760,2768,2760
testes/in06_044.dat,2554,2558,2554
testes/in06_045.dat,3178,3178,3186
testes/in06_046.dat,2653,2662,2653
testes/in06_047.dat,3357,3357,3357
testes/in06_048.dat,3044,3056,3044
testes/in06_049.dat,2980,2980,2994
testes/in06_050.dat,2651,2655,2651
testes/in06_051.dat,2886,2903,2886
testes/in06_052.dat,2633,2633,2637
testes/in06_053.dat,2325,2325,2325
testes/in06_054.dat,2836,2847,2837
testes/in06_055.dat,2845,2845,2850
testes/in06_056.dat,2596,2598,2596
testes/in06_057.dat,2737,2750,2737
testes/in06_058.dat,3351,3356,3351
testes/in06_059.dat,2904,2904,2904
testes/in06_060.dat,3466,3466,3466
testes/in06_061.dat,5572,5513,5536
testes/in06_062.dat,6194,6165,6237
testes/in06_063.dat,4852,4831,4884
testes/in06_064.dat,6118,6126,6199
testes/in06_065.dat,5889,5868,5902
testes/in06_066.dat,5834,5849,5854
testes/in06_067.dat,6320,6299,6311
testes/in06_068.dat,5333,5295,5367
testes/in06_069.dat,5814,5803,5839
testes/in06_070.dat,5996,5996,6027
testes/in06_071.dat,5903,5857,5887
testes/in06_072.dat,6005,6021,6058
testes/in06_073.dat,5505,5495,5524
testes/in06_074.dat,5862,5865,5903
testes/in06_075.dat,5651,5624,5724
testes/in06_076.dat,5903,5913,5949
testes/in06_077.dat,6051,6042,6087
testes/in06_078.dat,5831,5830,5859
testes/in06_079.dat,5978,5964,5997
testes/in06_080.dat,5669,5697,5707
testes/in06_081.dat,5100,5107,5140
testes/in06_082.dat,5660,5685,5687
testes/in06_083.dat,5471,5500,5546
testes/in06_084.dat,4946,4977,5034
testes/in06_085.dat,5230,5213,5252
testes/in06_086.dat,4947,4947,4976
testes/in06_087.dat,5691,5699,5733
testes/in06_088.dat,5137,5141,5191
testes/in06_089.dat,5518,5545,5560
testes/in06_090.dat,5921,5956,5943
testes/in06_091.dat,5147,5156,5209
testes/in06_092.dat,5071,5029,5098
testes/in06_093.dat,6422,6426,6464
testes/in06_094.dat,5301,5306,5350
testes/in06_095.dat,6457,6495,6516
testes/in06_096.dat,6345,6373,6384
testes/in06_097.dat,5657,5664,5698
testes/in06_098.dat,5523,5569,5581
testes/in06_099.dat,5578,5562,5613
testes/in06_100.dat,5955,6005,6000
testes/in06_101.dat,5679,5737,5733
testes/in06_102.dat,6109,6116,6171
testes/in06_103.dat,5270,5285,5328
testes/in06_104.dat,5530,5530,5592
testes/in06_105.dat,5658,5713,5733
testes/in06_106.dat,4461,4474,4517
testes/in06_107.dat,4693,4693,4728
testes/in06_108.dat,6195,6234,6246
testes/in06_109.dat,5312,5305,5349
testes/in06_110.dat,5334,5354,5420
testes/in06_111.dat,6085,6087,6129
testes/in06_112.dat,5349,5366,5382
testes/in06_113.dat,5664,5690,5705
testes/in06_114.dat,6726,6769,6798
testes/in06_115.dat,5534,5535,5612
testes/in06_116.dat,5300,5370,5364
testes/in06_117.dat,5067,5088,5137
testes/in06_118.dat,5330,5342,5415
testes/in06_119.dat,5075,5089,5150
testes/in06_120.dat,5595,5636,5639
testes/in06_121.dat,8594,8481,8660
testes/in06_122.dat,8555,8473,8617
testes/in06_123.dat,8574,8532,8645
testes/in06_124.dat,9384,9380,9479
testes/in06_125.dat,8029,8007,8083
testes/in06_126.dat,8211,8134,8257
testes/in06_127.dat,8509,8402,8604
testes/in06_128.dat,8875,8851,8958
testes/in06_129.dat,8861,8850,8920
testes/in06_130.dat,8292,8231,8369
testes/in06_131.dat,8561,8533,8661
testes/in06_132.dat,8426,8390,8505
testes/in06_133.dat,8489,8440,8527
testes/in06_134.dat,8478,8428,8595
testes/in06_135.dat,8745,8618,8771
testes/in06_136.dat,8007,7924,8065
testes/in06_137.dat,8642,8577,8734
testes/in06_138.dat,8856,8862,8979
testes/in06_139.dat,9316,9304,9329
testes/in06_140.dat,8208,8164,8303
testes/in06_141.dat,7971,8005,8113
testes/in06_142.dat,8044,8079,8186
testes/in06_143.dat,8881,8841,8958
testes/in06_144.dat,7427,7469,7539
testes/in06_145.dat,8750,8732,8869
testes/in06_146.dat,8338,8375,8442
testes/in06_147.dat,8580,8594,8649
testes/in06_148.dat,7285,7310,7395
testes/in06_149.dat,8347,8339,8486
testes/in06_150.dat,8334,8363,8436
testes/in06_151.dat,8444,8446,8560
testes/in06_152.dat,7903,7943,8043
testes/in06_153.dat,7841,7848,7938
testes/in06_154.dat,8456,8434,8561
